 
 Sfworker.cc tti-dl 6907 tti-ul 6911, rnti 2, time 9.627385, nofg=1 
 Sfworker.cc tti-dl 6923 tti-ul 6927, rnti 70, time 9.643385, nofg=1 
 Sfworker.cc tti-dl 6953 tti-ul 6957, rnti 70, time 9.673385, nofg=1 
 Sfworker.cc tti-dl 6973 tti-ul 6977, rnti 70, time 9.693385, nofg=1 
 Sfworker.cc tti-dl 6993 tti-ul 6997, rnti 70, time 9.713385, nofg=1 
 Sfworker.cc tti-dl 7013 tti-ul 7017, rnti 70, time 9.733385, nofg=1 
 Sfworker.cc tti-dl 7033 tti-ul 7037, rnti 70, time 9.753385, nofg=1 
 Sfworker.cc tti-dl 7053 tti-ul 7057, rnti 70, time 9.773385, nofg=1 
 Sfworker.cc tti-dl 7073 tti-ul 7077, rnti 70, time 9.793385, nofg=1 
 Sfworker.cc tti-dl 7253 tti-ul 7257, rnti 70, time 9.973385, nofg=1 
 Sfworker.cc tti-dl 645 tti-ul 649, rnti 70, time 34.085385, nofg=2 
 Sfworker.cc tti-dl 2647 tti-ul 2651, rnti 70, time 36.087385, nofg=1 
 Sfworker.cc tti-dl 3649 tti-ul 3653, rnti 70, time 37.089385, nofg=1 
 Sfworker.cc tti-dl 4651 tti-ul 4655, rnti 70, time 38.091385, nofg=1 
 Sfworker.cc tti-dl 7655 tti-ul 7659, rnti 70, time 41.095385, nofg=1 
 Sfworker.cc tti-dl 419 tti-ul 423, rnti 70, time 44.099385, nofg=1 
 Sfworker.cc tti-dl 2421 tti-ul 2425, rnti 70, time 46.101385, nofg=1 
 Sfworker.cc tti-dl 1646 tti-ul 1650, rnti 70, time 35.086385, nofg=1 
 Sfworker.cc tti-dl 5652 tti-ul 5656, rnti 70, time 39.092385, nofg=1 
 Sfworker.cc tti-dl 6654 tti-ul 6658, rnti 70, time 40.094385, nofg=1 
 Sfworker.cc tti-dl 8656 tti-ul 8660, rnti 70, time 42.096385, nofg=1 
 Sfworker.cc tti-dl 9658 tti-ul 9662, rnti 70, time 43.098385, nofg=1 
 Sfworker.cc tti-dl 1420 tti-ul 1424, rnti 70, time 45.100385, nofg=1
