
 sfworker.cc l261 tx_time 2.928379, tti 828, rnti 0
 sfworker.cc l261 tx_time 3.273379, tti 1173, rnti 95
 sfworker.cc l261 tx_time 3.281379, tti 1181, rnti 95
 sfworker.cc l261 tx_time 3.301379, tti 1201, rnti 95
 sfworker.cc l261 tx_time 3.309379, tti 1209, rnti 95
 sfworker.cc l261 tx_time 3.317379, tti 1217, rnti 95
 sfworker.cc l261 tx_time 3.533379, tti 1433, rnti 95
 sfworker.cc l261 tx_time 3.541379, tti 1441, rnti 95
 sfworker.cc l261 tx_time 14.253391, tti 1913, rnti 95
 sfworker.cc l261 tx_time 14.255391, tti 1915, rnti 95
 sfworker.cc l261 tx_time 14.257391, tti 1917, rnti 95
 sfworker.cc l261 tx_time 14.261391, tti 1921, rnti 95
 sfworker.cc l261 tx_time 14.263391, tti 1923, rnti 95
 sfworker.cc l261 tx_time 14.265391, tti 1925, rnti 95
 sfworker.cc l261 tx_time 14.269391, tti 1929, rnti 95
 sfworker.cc l261 tx_time 15.253392, tti 2913, rnti 95
 sfworker.cc l261 tx_time 15.255392, tti 2915, rnti 95
 sfworker.cc l261 tx_time 15.257392, tti 2917, rnti 95
 sfworker.cc l261 tx_time 15.261392, tti 2921, rnti 95
 sfworker.cc l261 tx_time 15.263392, tti 2923, rnti 95
 sfworker.cc l261 tx_time 15.265392, tti 2925, rnti 95
 sfworker.cc l261 tx_time 15.269392, tti 2929, rnti 95
 sfworker.cc l261 tx_time 16.273393, tti 3933, rnti 95
 sfworker.cc l261 tx_time 16.275393, tti 3935, rnti 95
 sfworker.cc l261 tx_time 16.277393, tti 3937, rnti 95
 sfworker.cc l261 tx_time 16.281393, tti 3941, rnti 95
 sfworker.cc l261 tx_time 16.283393, tti 3943, rnti 95
 sfworker.cc l261 tx_time 16.285393, tti 3945, rnti 95
 sfworker.cc l261 tx_time 16.289393, tti 3949, rnti 95
 sfworker.cc l261 tx_time 17.273394, tti 4933, rnti 95
 sfworker.cc l261 tx_time 17.275394, tti 4935, rnti 95
 sfworker.cc l261 tx_time 17.277394, tti 4937, rnti 95
 sfworker.cc l261 tx_time 17.281394, tti 4941, rnti 95
 sfworker.cc l261 tx_time 17.283394, tti 4943, rnti 95
 sfworker.cc l261 tx_time 17.285394, tti 4945, rnti 95
 sfworker.cc l261 tx_time 17.289394, tti 4949, rnti 95
 sfworker.cc l261 tx_time 18.273396, tti 5933, rnti 95
 sfworker.cc l261 tx_time 18.275396, tti 5935, rnti 95
 sfworker.cc l261 tx_time 18.277396, tti 5937, rnti 95
 sfworker.cc l261 tx_time 18.281396, tti 5941, rnti 95
 sfworker.cc l261 tx_time 18.283396, tti 5943, rnti 95
 sfworker.cc l261 tx_time 18.289396, tti 5949, rnti 95
 sfworker.cc l261 tx_time 19.273397, tti 6933, rnti 95
 sfworker.cc l261 tx_time 19.275397, tti 6935, rnti 95
 sfworker.cc l261 tx_time 19.277397, tti 6937, rnti 95
 sfworker.cc l261 tx_time 19.281397, tti 6941, rnti 95
 sfworker.cc l261 tx_time 19.283397, tti 6943, rnti 95
 sfworker.cc l261 tx_time 20.273398, tti 7933, rnti 95
 sfworker.cc l261 tx_time 20.275398, tti 7935, rnti 95
 sfworker.cc l261 tx_time 20.277398, tti 7937, rnti 95
 sfworker.cc l261 tx_time 20.281398, tti 7941, rnti 95
 sfworker.cc l261 tx_time 20.283398, tti 7943, rnti 95
 sfworker.cc l261 tx_time 20.285398, tti 7945, rnti 95
 sfworker.cc l261 tx_time 20.289398, tti 7949, rnti 95
 sfworker.cc l261 tx_time 21.273399, tti 8933, rnti 95
 sfworker.cc l261 tx_time 21.275399, tti 8935, rnti 95
 sfworker.cc l261 tx_time 21.277399, tti 8937, rnti 95
 sfworker.cc l261 tx_time 21.281399, tti 8941, rnti 95
 sfworker.cc l261 tx_time 21.283399, tti 8943, rnti 95
 sfworker.cc l261 tx_time 21.285399, tti 8945, rnti 95
 sfworker.cc l261 tx_time 21.289399, tti 8949, rnti 95
 sfworker.cc l261 tx_time 22.273400, tti 9933, rnti 95
 sfworker.cc l261 tx_time 22.275400, tti 9935, rnti 95
 sfworker.cc l261 tx_time 22.277400, tti 9937, rnti 95
 sfworker.cc l261 tx_time 22.281400, tti 9941, rnti 95
 sfworker.cc l261 tx_time 22.283400, tti 9943, rnti 95
 sfworker.cc l261 tx_time 22.285400, tti 9945, rnti 95
 sfworker.cc l261 tx_time 22.289400, tti 9949, rnti 95
 sfworker.cc l261 tx_time 23.273401, tti 693, rnti 95
 sfworker.cc l261 tx_time 23.275401, tti 695, rnti 95
 sfworker.cc l261 tx_time 23.277401, tti 697, rnti 95
 sfworker.cc l261 tx_time 23.281401, tti 701, rnti 95
 sfworker.cc l261 tx_time 23.283401, tti 703, rnti 95
 sfworker.cc l261 tx_time 24.273402, tti 1693, rnti 95
 sfworker.cc l261 tx_time 24.275402, tti
 sfworker.cc l261 tx_time 3.264379, tti 1164, rnti 95
 sfworker.cc l261 tx_time 3.284379, tti 1184, rnti 95
 sfworker.cc l261 tx_time 3.292379, tti 1192, rnti 95
 sfworker.cc l261 tx_time 3.324379, tti 1224, rnti 95
 sfworker.cc l261 tx_time 3.332379, tti 1232, rnti 95
 sfworker.cc l261 tx_time 3.340379, tti 1240, rnti 95
 sfworker.cc l261 tx_time 3.524379, tti 1424, rnti 95
 sfworker.cc l261 tx_time 14.244391, tti 1904, rnti 95
 sfworker.cc l261 tx_time 14.254391, tti 1914, rnti 95
 sfworker.cc l261 tx_time 14.256391, tti 1916, rnti 95
 sfworker.cc l261 tx_time 14.258391, tti 1918, rnti 95
 sfworker.cc l261 tx_time 14.262391, tti 1922, rnti 95
 sfworker.cc l261 tx_time 14.264391, tti 1924, rnti 95
 sfworker.cc l261 tx_time 15.244392, tti 2904, rnti 95
 sfworker.cc l261 tx_time 15.254392, tti 2914, rnti 95
 sfworker.cc l261 tx_time 15.256392, tti 2916, rnti 95
 sfworker.cc l261 tx_time 15.258392, tti 2918, rnti 95
 sfworker.cc l261 tx_time 15.262392, tti 2922, rnti 95
 sfworker.cc l261 tx_time 15.264392, tti 2924, rnti 95
 sfworker.cc l261 tx_time 16.264393, tti 3924, rnti 95
 sfworker.cc l261 tx_time 16.274393, tti 3934, rnti 95
 sfworker.cc l261 tx_time 16.276393, tti 3936, rnti 95
 sfworker.cc l261 tx_time 16.278393, tti 3938, rnti 95
 sfworker.cc l261 tx_time 16.282393, tti 3942, rnti 95
 sfworker.cc l261 tx_time 16.284393, tti 3944, rnti 95
 sfworker.cc l261 tx_time 16.286393, tti 3946, rnti 95
 sfworker.cc l261 tx_time 17.264394, tti 4924, rnti 95
